city,lat,lng,group
San Juan Cotzocón,17.1667,-95.7833,C
Cazones de Herrera,20.7044,-97.3106,A
Ahualulco de Mercado,20.6167,-103.8667,C
Tecali,18.9,-97.9667,C
San Martín Totolán,20.0833,-102.65,C
Cerro Azul,21.192,-97.7409,A
General Pánfilo Natera,22.665,-102.1097,B
San Buenaventura,27.0625,-101.5467,B
Doctor Mora,21.1425,-100.3192,B
La Higuerita,19.5,-104.8833,A
La Huerta,19.4833,-104.65,A
Ozuluama de Mascareñas,21.6667,-97.85,A
Motul,21.1667,-89.4667,B
Tototlán,20.5333,-102.7833,C
Soledad Atzompa,18.75,-97.15,C
Tamiahua,21.2788,-97.4462,A
Rafael Delgado,18.8167,-97.0667,C
Oxkutzkab,20.3056,-89.4183,A
Frontera,18.5336,-92.6469,A
Malinalco,18.9483,-99.4947,C
Naolinco de Victoria,19.6367,-96.8525,C
San Miguel de Papasquiaro,24.8304,-105.34,C
Ojinaga,29.5644,-104.4164,B
Tequixquiac,19.9097,-99.1417,C
Yahualica de González Gallo,21.1781,-102.886,C
Tlacolula de Matamoros,16.9542,-96.4792,B
Huautla,21.0308,-98.285,C
Emiliano Zapata,17.7446,-91.7651,A
Puente Nacional,19.3333,-96.4833,A
Acatlán,20.1444,-98.4383,B
Yahualica,20.9531,-98.38,C
Huejúcar,22.3591,-103.2108,B
Ocatlán,19.3167,-98.2283,C
Chalchihuitán,17.0333,-92.6167,A
Axapusco,19.7194,-98.7972,C
Pueblo Juárez,17.7,-93.2,A
Charo,19.75,-101.05,C
Magdalena,20.9167,-103.95,C
Chapa de Mota,19.8144,-99.5269,C
Comalapa,15.65,-92.15,A
Tixtla de Guerrero,17.5667,-99.4,A
Sombrerete,23.6333,-103.6397,C
Ocotlán de Morelos,16.7914,-96.675,C
Tlaltenango de Sánchez Román,21.7815,-103.3059,C
Cuilapan de Guerrero,16.9972,-96.7817,C
Chapala,20.2961,-103.1911,C
Acatic,20.7803,-102.91,C
San Martín de las Pirámides,19.7333,-98.8167,C
Allende,28.3333,-100.8333,B
Fortín de las Flores,18.9,-97.0,C
Tapalpa,19.9445,-103.7585,C
Degollado,20.4667,-102.15,C
Valle Nacional,17.7667,-96.3,A
Nogales,18.8167,-97.1667,C
Chocamán,19.0167,-97.0333,C
Altepexi,18.35,-97.3167,B
Xoxocotla,18.685,-99.2439,A
Texistepec,17.9,-94.8167,A
Chachahuantla,20.2756,-98.1503,C
Pahuatlán de Valle,20.2756,-98.1503,C
Tepexi de Rodríguez,18.5833,-97.9333,B
Chapulhuacán,21.1547,-98.9039,C
La Resolana,19.3425,-104.2878,A
Atoyac de Álvarez,17.2,-100.4333,A
Colonia General Felipe Ángeles,23.9167,-104.6,B
Santa María Chilchotla,18.2333,-96.8167,C
Las Vigas de Ramírez,19.6369,-97.1,C
Cruz Grande,16.7333,-99.1333,A
Huanímaro,20.3675,-101.4969,C
Villa Hidalgo,21.6667,-102.6,B
Naranjos,21.3509,-97.6866,A
Teopisca,16.55,-92.5,C
Castillo de Teayo,20.75,-97.6333,A
Etzatlán,20.7667,-104.1333,C
Cárdenas,22.01,-99.652,B
Ciudad Miguel Alemán,26.4003,-99.0253,B
El Arenal,20.7,-103.6167,C
Comapa,19.165,-96.8856,C
Zimatlán de Álvarez,16.8667,-96.7833,A
Tepetlixpa,19.0006,-98.8178,C
Peto,20.1256,-88.9214,A
Atlapexco,21.0221,-98.3543,A
Calvillo,21.85,-102.7167,B
Colotlán,22.2,-103.3,B
Chiconcuac,19.55,-98.9,C
Lerdo de Tejada,18.638,-95.5085,A
San Juan Zitlaltepec,19.7167,-99.05,C
Hidalgotitlán,17.7833,-94.6333,A
Suchiapa,16.6181,-93.0942,A
Jesús María,20.6078,-102.2242,C
Cardonal,20.6167,-99.1167,B
José Cardel,19.3667,-96.3667,A
Mapastepec,15.4411,-92.8916,A
Texcaltitlán,18.9297,-99.9372,C
Puerto Morelos,20.8536,-86.8753,A
Jamiltepec,16.2833,-97.8167,A
Senguio,19.7328,-100.3522,C
Cacahoatán,14.9898,-92.1681,A
Cherán,19.6833,-101.95,C
Ixtlahuacán del Río,20.8667,-103.25,C
Cotija de la Paz,19.8167,-102.6833,C
Santa Ana Jilotzingo,19.4,-99.2333,C
Vista Hermosa de Negrete,20.2717,-102.4749,C
San Ignacio Cerro Gordo,20.7333,-102.517,C
Ajacuba,20.0833,-99.1167,B
Huehuetla,20.1075,-97.6233,C
Tlalnelhuayocan,19.5667,-96.9667,C
Santa Catarina Juquila,16.2379,-97.2914,A
Aldama,28.8386,-105.9111,B
Asunción Nochixtlán,17.45,-97.2167,B
Santa Cruz Zenzontepec,16.5333,-97.5,A
Coalcomán de Vázquez Pallares,18.7833,-103.1667,A
San Blas Atempa,16.3167,-95.2167,A
Cuautitlán,19.4522,-104.3583,A
Filomeno Mata,20.2,-97.7,C
Santiago Ixcuintla,21.811,-105.2079,A
San José Tenango,18.15,-96.7333,C
Pijijiapan,15.6833,-93.2167,A
San Sebastián Tutla,17.0667,-96.6667,B
Xochiatipan de Castillo,20.8333,-98.285,C
Tlacoachistlahuaca,16.7833,-98.2,A
Cuquío,20.929,-103.0229,C
Unión de San Antonio,21.128,-102.006,C
Zapotlán del Rey,20.4674,-102.9248,C
San Bartolo Tutotepec,20.4,-98.2,C
Villa Corona,20.3989,-103.6889,C
Mazapil,24.6383,-101.5553,B
Benito Juárez,20.8833,-98.2,A
Amacuzac,18.6,-99.37,A
Palau,27.9167,-101.4167,B
Santos Reyes Nopala,16.1,-97.15,A
Compostela,21.2333,-104.9,A
Moloacán,17.9833,-94.35,A
Tenango de Doria,20.3356,-98.2267,C
Ciudad Hidalgo,14.6792,-92.1497,A
Pajapan,18.2667,-94.6833,A
Tepatlaxco,19.0667,-97.9667,C
Tasquillo,20.6167,-99.25,C
Totutla,19.2167,-96.9667,C
Ziracuaretiro,19.4333,-101.9167,C
Mecayapan,18.2167,-94.8333,A
Tecolotlán,20.1,-103.8333,C
